time,month,tags,cluster_keywords,heat,content
2018-12-31,12,0,跨年,4334.3,在今晚的湖南卫视跨年演唱会上一身白衣自弹自唱歌曲男孩深情款款的演绎既温柔又绅士不知道迷妹们看到居老师唱完长叹一口气有木有觉得很可爱呢
2018-12-19,12,2,十大,23351.3,十大微博娱乐热词嗖地进入尾声你转发锦鲤许下的愿望都实现了吗前一秒喊着陪小哥哥一起走花路转头却说男人都是大猪蹄子真香十大微博娱乐热词正式官宣究竟哪个词能位出道跟着的节奏了解一下继续冲鸭
2018-12-28,12,3,爱豆 杨幂,216072.50000000003,想去看自己的爱豆还想和同属性的小伙伴们组团去看给爱豆一片专属应援海贴心的阿乐这就满足你关注带话题转发本条微博转发量破万万将解锁不重同磅福利本条微博转发量破万热转第一的粉丝团体可以获得张微博之夜门票热转第二的粉丝团体
2018-12-14,12,4,检方 刘恺威,21846.699999999997,刘强东案女主再曝细节他折磨了我个小时日消息华尔街日报从刘强东案受害女子和警方对话录音中得知她在自己的校外公寓中经历了长达四个小时的折磨期间她不断挣扎着拒绝刘强东的肢体接触直到最终被其压倒在床上律师表示受害女子家境很好是一位颇有才华的钢琴家美国检方将
2018-12-22,12,5,刘恺威 杨幂,126415.5,杨幂刘恺威微博互动成恋爱日记翻一翻杨幂刘恺威的微博从年公布恋情开始二人的互动几乎成了恋爱日记连续六年发文为对方庆生互相庆祝母亲父亲节情人节结婚纪念日帮对方宣传作品日常互怼字里行间都是爱但终究还是没能逃过时间成为过去式公开
2018-12-19,12,6,社区 戒毒,3360.7999999999997,陈羽凡责令社区戒毒三年他将面临什么日前陈羽凡因吸毒被捕被责令在社区戒毒年有禁毒办负责人称陈羽凡将面临年的定期报到次尿样检测根毛发检测据悉陈羽凡本该于月日起日内到社区报到但日未见其本人视频梨视频
2018-12-28,12,7,海王,1700.1000000000001,日美国网站公布了世界百大最帅面孔海王杰森莫玛夺冠张艺兴拿下第名成华人最帅脸蛋世界百大最美面孔中冠军由法国模特摘得韩国女团成员周子瑜获得亚军位列亚洲女星第一
2018-12-02,12,8,杨幂,11264.6,刘丹回应儿媳妇杨幂瘦成纸片人据港媒近日在出席活动时被拍到人瘦了一圈网友也纷纷表示目测杨幂整个人只有多斤公公刘丹在接受媒体记者采访时被问及此事以及会不会担心杨幂的健康问题刘丹表示哈哈哈她平时吃得很少没事大家放心
2018-11-20,11,3392,蒋劲夫 中浦悠花 电视台,53611.7,疑蒋劲夫好友发文澄清家暴事件日稍晚疑似蒋劲夫好友的发文透露了夫仔与中浦悠花交往细节他表示蒋劲夫确实动手打人了但是打人的原因是他和中浦悠花之间的矛盾争吵据透露中浦悠花很爱去夜店尽管蒋劲夫曾多次表现出在不愿女友出入夜场中浦悠花还
2018-11-29,11,3393,蒋劲夫 蓝洁瑛,12114.1,胡歌娜扎俞灏明等发文谈蒋劲夫被捕日并承认涉嫌施暴的指控深夜发文回忆与其过往痛心惋惜的同时态度明确错了就是错了但别趴下我们还需要还原一个真相随后转发称对白纸期的兄弟感到伤心失望但也希望能再见当年的少年
2018-11-19,11,3394,电视台 蒋劲夫,10985.8,整改过度娱乐化问题湖南卫视调整黄金档编排据中国之声新闻纵横湖南卫视因过度娱乐化而被中央巡视组点名之后湖南省委指导督促湖南广播电视台针对过度集中综艺娱乐过度依赖明星艺人过度追求商业价值和市场效果这三个过度下功夫湖南卫视调整黄金时段和周末晚间编排
2018-11-28,11,3395,陈羽凡,16212.8,陈羽凡与岁女性吸毒被抓知情人是同居女友日北京警方发布通报确认被抓有知情人士向新浪娱乐透露通报中所提及的岁女性何某是陈羽凡同居多年的女友并表示两个人在一起很久了年月日白百何承认与陈羽凡于年底离婚
2018-11-23,11,3396,张志鹏 孟庭苇 助理,2315.8999999999996,张志鹏再证前妻日凌晨孟庭苇前夫张志鹏多次发文表示与孟庭苇的婚姻确被女助理破坏称自己早在年就撞见过二人约会年也曾围堵到孟庭苇跟女助理并暴打了女助理导致孟庭苇离家出走自己被逼离婚四年前被离职员工造谣家暴是保护前妻所背下黑锅张志鹏还指责孟
2018-11-19,11,3397,助理 孟庭苇,5692.5,朱丹回应周一围与女助理同喝奶茶日前有媒体拍到与女助理在片场散步期间周一围主动喝了女助理的奶茶又面露嫌弃地吐出奶茶中的珍珠女助理也并未更换吸管日发文回应此事反问爆料媒体努力把周一围往坏男人的人设上推对这个社会对大家有什么益处呢
2018-11-09,11,3398,吴亦凡,23485.6,外媒曝吴亦凡美区属销量欺诈将不会计入榜单据报道吴亦凡新专辑销量被认为是通过欺诈手段取得将不会计入销量向尼尔森汇报因此也不会计入榜单有网友发现美国一则新闻也对相关事件进行了报道其标题为将不会计算中国明星的销量吴亦凡登顶属于欺诈销
2018-11-14,11,3399,音集协,2194.7,英皇等三家公司版权代理音集协无权要求删歌据新京报日英皇娱乐爱贝克思丰华唱片三家版权代理公司代表就音集协删歌一事回应称音集协对于未取得授权管理的权利作品无权要求及点播供应商下架并表示三家公司版权代理商已于年月日正式退出音集协
2018-11-17,11,3400,颁奖 蒋劲夫,113956.1,现场上届金马影帝上台颁奖时发言你好大家晚上好特别荣幸再次来到中国台湾金马做颁奖嘉宾这次见到很多熟悉面孔接触很多新面孔认识很多新朋友我感到两岸一家亲加油
2018-11-13,11,3401,斯坦,125078.59999999999,美国著名漫画创作者演员编剧据消息美国漫画界元老级人物斯坦李于当地时间周一日在好莱坞一家医疗中心去世享年岁过去的一年多时间里斯坦李得了肺炎并伴有视力问题年斯坦和杰克柯比一起创办了漫威影业其代表作品有蜘蛛侠绿巨人钢铁侠
2018-11-03,11,3402,蓝洁瑛 电视台,97899.2,综合多家港媒报道艺人蓝洁瑛于周六月日凌晨被发现在住所去世享年岁凌晨警方接到一名雷姓岁女子报案指其女友人迟迟没有开门她随即报警求助消防赶到破门而入发现其倒卧在地救护人员证实她已死亡不需送院稍后会验尸确定死因
