time,content,splitword
2018-12-31,年的最后一条微博你想对自己说,一条 微博
2018-12-31,我爱你春天蓬勃的秧苗我爱你秋日金黄的硕果我爱你青松气质我爱你红梅品格,我爱你 春天 蓬勃 秧苗 我爱你 秋日 金黄 硕果 我爱你 青松 气质 我爱你 红梅 品格
2018-12-31,跨年夜我们一起在诵读声中度过,跨年 诵读 声中 度过
2018-12-31,今天是年的最后一天这一年无论是潇洒还是失意都会马上过去辞旧迎新我们要把目光投向未来为自己新的一年加油,一年 无论是 潇洒 失意 辞旧迎新 目光 投向 未来 一年 加油
2018-12-31,我歌唱每一座高山我歌唱每一条河,歌唱 一座 高山 歌唱 一条
2018-12-31,我和我的祖国一刻也不能分割无论我走到哪里都流出一首赞歌,祖国 一刻 分割 流出 一首 赞歌
2018-12-31,地表最强手绘火车长长长长长图从吞云吐雾的蒸汽机车到驰骋南北的复兴号动车组列车数数看你坐过其中多少种车型,地表 最强 手绘 火车 长长 长长 长图 吞云吐雾 蒸汽机车 驰骋 南北 复兴号 动车组 列车 数数看 车型
2018-12-31,团团和你一起走过万个团团万条微博亿人次的互动我们一起维护祖国统一一起关注青年安全一起弘扬中国传统文化一起助力脱贫攻坚这就是年温柔又充满力量的团团年愿与你一起遇见未来温暖未来,团团 走过 万个 团团 万条 微博 亿人次 互动 维护 祖国统一 关注 青年 弘扬 传统 文化 助力 脱贫 攻坚 温柔 充满 力量 团团 年愿 遇见 未来 温暖 未来
2018-12-31,这群人温暖了北京人的冬天也温暖了他们自己的冬天他们的文化水平不一定很高知识积累不一定很多但是他们做到了真心善良温暖寒冷的背后吕梁山护工的暖暖真情温暖了北京人的冬天也温暖了他们自己的冬天,这群人 温暖 北京 冬天 温暖 冬天 文化 水平 知识 积累 真心 善良 温暖 寒冷 背后 吕梁山 护工 真情 温暖 北京 冬天 温暖 冬天
2018-12-31,致敬民警感谢守护我们的平安,民警 感谢 守护 平安
2018-12-31,就要过去了用一个字来形容你的,字来 形容
2018-12-31,年的最后一天致敬中国军人他们见过初升的太阳见过午夜的星光见过边关的雪灾难来临时他们的名字叫希望当你有困难时他们的名字叫无私当你遇到危险时他们的名字叫勇敢当你与家人团聚共享天伦时他们从来不求回报他们有共同的名字中国军人,军人 见过 初升 太阳 见过 午夜 星光 见过 边关 灾难 临时 名字 希望 困难 名字 无私 危险 名字 勇敢 家人 团聚 共享 天伦 从来不 回报 名字 军人
2018-12-30,下雪天好冷大叔在运垃圾时突然停下了我以为他在捡瓶子接下来一幕感动到我了我爱你中国青春祭,下雪天 大叔 垃圾 停下 瓶子 一幕 感动 我爱你 青春
2018-12-30,放假第一天小伙伴们打算怎么安排这个假期来跟团团说说等假期结束了再回来看看安排上了没,放假 第一天 小伙伴 打算 安排 假期 团团 假期 结束 回来 安排
2018-12-30,安排上了,安排
2018-12-30,我和我的祖国一刻也不能分割,祖国 一刻 分割
2018-12-30,嗨小伙伴们来看看新华社评出的年国内十大新闻哪件是你最关心的,小伙伴 新华社 评出 国内 十大 新闻 哪件 关心
2018-12-30,银装素裹西藏版冰雪奇缘雅鲁藏布江现雾凇奇观连日来西藏贡嘎县境内雅鲁藏布江流域出现独特的雾凇景观江边上的沙棘林柳树杨树等植物上附着着一层薄薄的银白色远看宛若仙境近看似玉树琼林戳视频感受,银装素裹 西藏 冰雪 奇缘 雅鲁藏布江 雾凇 奇观 西藏 贡嘎县 境内 雅鲁藏布江 流域 独特 雾凇 景观 江边 沙棘 柳树 杨树 植物 附着 一层 薄薄的 银白色 远看 宛若 仙境 看似 玉树 琼林 视频 感受
2018-12-30,公安部出台新政策向袭警说不,公安部 出台 政策 袭警
2018-12-30,我最亲爱的祖国我永远紧依着你的心窝,亲爱 祖国 永远 紧依着 心窝
2018-12-30,真面目曝光你的女网友大多长这样近日浙江台州临海警方在河北沧州摧毁一个网络交友诈骗犯罪团伙捣毁诈骗窝点个共抓获团伙成员名女性嫌疑人除自己行骗外还帮助同窝点男性嫌疑人接听电话视频聊天以便男性犯罪嫌疑人冒充女性行骗而女性共人占,真面目 曝光 女网友 近日 浙江 台州 临海 警方 河北 沧州 摧毁 网络 交友 诈骗 犯罪团伙 捣毁 诈骗 窝点 抓获 团伙 成员 女性 嫌疑人 行骗 窝点 男性 嫌疑人 接听电话 视频 聊天 男性 犯罪 嫌疑人 冒充 女性 行骗 女性 共人
2018-12-30,中国制造世界最薄手撕钢了解一下把原始钢带放进轧机轧辊像擀面杖一样把钢带从厚擀薄造出厚度只有毫米的世界最薄钢科研人员用整整两年时间进行了次试验他们还研发出世界唯一宽幅达毫米的手撕钢一张纸大小手撕钢市场价就达元,制造 世界 最薄 撕钢 原始 钢带 放进 轧机 轧辊 擀面杖 钢带 从厚 造出 厚度 毫米 世界 薄钢 科研人员 整整 两年 时间 试验 研发 世界 唯一 宽幅 毫米 撕钢 一张 大小 撕钢 市场价 达元
2018-12-30,对递国旗抄近道等违规事件作出处罚决定对年苏州马拉松递送国旗事件南宁国际马拉松拉拽冲线冠军运动员事件深圳南山半程马拉松比赛抄近道事件中涉及的各赛事组委会作出取消参加年度中国田径协会马拉松赛事等级评定资格的处罚对事件中涉及的运营公司北京上,对递 国旗 抄近 违规 事件 作出 处罚 苏州 马拉松 递送 国旗 事件 南宁 国际 马拉松 冲线 冠军 运动员 事件 深圳 南山 半程 马拉松 比赛 抄近 事件 涉及 赛事 组委会 作出 取消 参加 年度 中国田径协会 马拉松赛 等级 评定 资格 处罚 事件 涉及 运营 公司 北京
